variable	tipo	n_valores_unicos	min	max
p5_10_2_7.0	int64	2	0.0	1.0
p5_10_2_nan	int64	2	0.0	1.0
p5_12_2.0	int64	2	0.0	1.0
p5_12_9.0	int64	2	0.0	1.0
p5_12_nan	int64	2	0.0	1.0
p5_13_2.0	int64	2	0.0	1.0
p5_13_3.0	int64	2	0.0	1.0
p5_13_nan	int64	2	0.0	1.0
p5_15_2.0	int64	2	0.0	1.0
p5_15_3.0	int64	2	0.0	1.0
p5_15_4.0	int64	2	0.0	1.0
p5_15_5.0	int64	2	0.0	1.0
p5_15_6.0	int64	2	0.0	1.0
p5_15_nan	int64	2	0.0	1.0
p5_16_2.0	int64	2	0.0	1.0
p5_16_3.0	int64	2	0.0	1.0
p5_16_4.0	int64	2	0.0	1.0
p5_16_5.0	int64	2	0.0	1.0
p5_16_6.0	int64	2	0.0	1.0
p5_16_7.0	int64	2	0.0	1.0
p5_16_nan	int64	2	0.0	1.0
p5_17_2.0	int64	2	0.0	1.0
p5_17_3.0	int64	2	0.0	1.0
p5_17_4.0	int64	2	0.0	1.0
p5_17_5.0	int64	2	0.0	1.0
p5_17_6.0	int64	2	0.0	1.0
p5_17_nan	int64	2	0.0	1.0
p5_18_1_2.0	int64	2	0.0	1.0
p5_18_1_9.0	int64	2	0.0	1.0
p5_18_1_nan	int64	2	0.0	1.0
p5_18_2_2.0	int64	2	0.0	1.0
p5_18_2_9.0	int64	2	0.0	1.0
p5_18_2_nan	int64	2	0.0	1.0
p5_18_3_2.0	int64	2	0.0	1.0
p5_18_3_9.0	int64	2	0.0	1.0
p5_18_3_nan	int64	2	0.0	1.0
p5_18_4_2.0	int64	2	0.0	1.0
p5_18_4_9.0	int64	2	0.0	1.0
p5_18_4_nan	int64	2	0.0	1.0
p5_18_5_2.0	int64	2	0.0	1.0
p5_18_5_9.0	int64	2	0.0	1.0
p5_18_5_nan	int64	2	0.0	1.0
p5_18_6_2.0	int64	2	0.0	1.0
p5_18_6_9.0	int64	2	0.0	1.0
p5_18_6_nan	int64	2	0.0	1.0
p5_18_7_2.0	int64	2	0.0	1.0
p5_18_7_9.0	int64	2	0.0	1.0
p5_18_7_nan	int64	2	0.0	1.0
p5_20_2.0	int64	2	0.0	1.0
p5_20_nan	int64	2	0.0	1.0
filtro_s5_3_1_2.0	int64	2	0.0	1.0
filtro_s5_3_1_nan	int64	2	0.0	1.0
p5_23_1_1.0	int64	2	0.0	1.0
p5_23_1_nan	int64	2	0.0	1.0
p5_23_2_1.0	int64	2	0.0	1.0
p5_23_2_nan	int64	2	0.0	1.0
p5_23_3_1.0	int64	2	0.0	1.0
p5_23_3_nan	int64	2	0.0	1.0
p5_23_4_1.0	int64	2	0.0	1.0
p5_23_4_nan	int64	2	0.0	1.0
p5_23_5_1.0	int64	2	0.0	1.0
p5_23_5_nan	int64	2	0.0	1.0
p5_23_6_1.0	int64	2	0.0	1.0
p5_23_6_nan	int64	2	0.0	1.0
p5_23_7_1.0	int64	2	0.0	1.0
p5_23_7_nan	int64	2	0.0	1.0
p5_23_8_1.0	int64	2	0.0	1.0
p5_23_8_nan	int64	2	0.0	1.0
p5_23_9_1.0	int64	2	0.0	1.0
p5_23_9_nan	int64	2	0.0	1.0
p6_3_2.0	int64	2	0.0	1.0
p6_3_nan	int64	2	0.0	1.0
p6_4_2.0	int64	2	0.0	1.0
p6_4_3.0	int64	2	0.0	1.0
p6_4_4.0	int64	2	0.0	1.0
p6_4_5.0	int64	2	0.0	1.0
p6_4_9.0	int64	2	0.0	1.0
p6_4_nan	int64	2	0.0	1.0
p6_7_2.0	int64	2	0.0	1.0
p6_7_nan	int64	2	0.0	1.0
p6_8_2.0	int64	2	0.0	1.0
p6_8_3.0	int64	2	0.0	1.0
p6_8_4.0	int64	2	0.0	1.0
p6_8_5.0	int64	2	0.0	1.0
p6_8_9.0	int64	2	0.0	1.0
p6_8_nan	int64	2	0.0	1.0
p6_10_1_2.0	int64	2	0.0	1.0
p6_10_1_nan	int64	2	0.0	1.0
p6_10_2_2.0	int64	2	0.0	1.0
p6_10_2_nan	int64	2	0.0	1.0
p6_10_3_2.0	int64	2	0.0	1.0
p6_10_3_nan	int64	2	0.0	1.0
p6_10_4_2.0	int64	2	0.0	1.0
p6_10_4_nan	int64	2	0.0	1.0
p6_10_5_2.0	int64	2	0.0	1.0
p6_10_5_nan	int64	2	0.0	1.0
p6_10_6_2.0	int64	2	0.0	1.0
p6_10_6_nan	int64	2	0.0	1.0
p6_10_7_2.0	int64	2	0.0	1.0
p6_10_7_nan	int64	2	0.0	1.0
p6_10_8_2.0	int64	2	0.0	1.0
p6_10_8_nan	int64	2	0.0	1.0
p6_11_1_2.0	int64	2	0.0	1.0
p6_11_1_nan	int64	2	0.0	1.0
p6_11_2_2.0	int64	2	0.0	1.0
p6_11_2_nan	int64	2	0.0	1.0
p6_11_3_2.0	int64	2	0.0	1.0
p6_11_3_nan	int64	2	0.0	1.0
p6_11_4_2.0	int64	2	0.0	1.0
p6_11_4_nan	int64	2	0.0	1.0
p6_11_5_2.0	int64	2	0.0	1.0
p6_11_5_nan	int64	2	0.0	1.0
p7_3_2.0	int64	2	0.0	1.0
p7_3_nan	int64	2	0.0	1.0
p7_4_1.0	int64	2	0.0	1.0
p7_4_10.0	int64	2	0.0	1.0
p7_4_2.0	int64	2	0.0	1.0
p7_4_3.0	int64	2	0.0	1.0
p7_4_4.0	int64	2	0.0	1.0
p7_4_5.0	int64	2	0.0	1.0
p7_4_6.0	int64	2	0.0	1.0
p7_4_7.0	int64	2	0.0	1.0
p7_4_8.0	int64	2	0.0	1.0
p7_4_9.0	int64	2	0.0	1.0
p7_4_nan	int64	2	0.0	1.0
p7_5_1_1.0	int64	2	0.0	1.0
p7_5_1_nan	int64	2	0.0	1.0
p7_5_2_1.0	int64	2	0.0	1.0
p7_5_2_nan	int64	2	0.0	1.0
p7_5_3_1.0	int64	2	0.0	1.0
p7_5_3_nan	int64	2	0.0	1.0
p7_5_4_1.0	int64	2	0.0	1.0
p7_5_4_nan	int64	2	0.0	1.0
p7_5_5_1.0	int64	2	0.0	1.0
p7_5_5_nan	int64	2	0.0	1.0
p7_5_6_1.0	int64	2	0.0	1.0
p7_5_6_nan	int64	2	0.0	1.0
p8_5_1_1.0	int64	2	0.0	1.0
p8_5_1_nan	int64	2	0.0	1.0
p8_5_2_1.0	int64	2	0.0	1.0
p8_5_2_nan	int64	2	0.0	1.0
p8_5_3_1.0	int64	2	0.0	1.0
p8_5_3_nan	int64	2	0.0	1.0
p8_5_4_1.0	int64	2	0.0	1.0
p8_5_4_nan	int64	2	0.0	1.0
p8_5_5_1.0	int64	2	0.0	1.0
